timestamp,priority,base_fee_sat_vb,mempool_tx_count,recommended_fee_sat_vb
2025-12-14T12:48:08.419706+00:00,normal,1,60054,1
2025-12-14T12:48:14.986350+00:00,fast,1,60054,1
2025-12-14T12:48:14.986350+00:00,normal,1,60054,1
2025-12-14T12:48:14.986350+00:00,cheap,1,60054,1
2025-12-14T12:48:52.197095+00:00,fast,1,60414,1
2025-12-14T12:48:52.197095+00:00,normal,1,60414,1
2025-12-14T12:48:52.197095+00:00,cheap,1,60414,1
2025-12-14T12:48:53.603886+00:00,fast,1,60414,1
2025-12-14T12:48:53.603886+00:00,normal,1,60414,1
2025-12-14T12:48:53.603886+00:00,cheap,1,60414,1
2025-12-14T12:48:55.222270+00:00,normal,1,60414,1
2025-12-14T12:49:00.287534+00:00,fast,1,60414,1
2025-12-14T12:49:07.739022+00:00,normal,1,60454,1
2025-12-14T12:49:11.873398+00:00,cheap,1,60454,1
2025-12-14T12:49:14.841302+00:00,normal,1,60484,1
2025-12-14T12:49:22.507737+00:00,fast,1,60484,1
2025-12-14T12:49:22.507737+00:00,normal,1,60484,1
2025-12-14T12:49:22.507737+00:00,cheap,1,60484,1
2025-12-14T12:49:49.922066+00:00,fast,1,60579,1
2025-12-14T12:49:49.922066+00:00,normal,1,60579,1
2025-12-14T12:49:49.922066+00:00,cheap,1,60579,1
2025-12-14T12:51:43.612435+00:00,fast,2,61003,2
2025-12-14T12:51:43.612435+00:00,normal,1,61003,1
2025-12-14T12:51:43.612435+00:00,cheap,1,61003,1
2025-12-14T12:52:57.860779+00:00,fast,2,61392,2
2025-12-14T12:52:57.860779+00:00,normal,1,61392,1
2025-12-14T12:52:57.860779+00:00,cheap,1,61392,1
2025-12-14T12:54:28.248460+00:00,fast,2,61684,2
2025-12-14T12:54:28.248460+00:00,normal,1,61684,1
2025-12-14T12:54:28.248460+00:00,cheap,1,61684,1
2025-12-14T12:55:20.289570+00:00,fast,2,61822,2
2025-12-14T12:55:23.844923+00:00,fast,2,61844,2
2025-12-14T12:55:23.844923+00:00,normal,1,61844,1
2025-12-14T12:55:23.844923+00:00,cheap,1,61844,1
2025-12-14T12:56:09.293190+00:00,normal,1,61922,1
2025-12-14T12:56:12.370174+00:00,fast,2,61922,2
2025-12-14T12:56:12.370174+00:00,normal,1,61922,1
2025-12-14T12:56:12.370174+00:00,cheap,1,61922,1
2025-12-14T12:58:10.585239+00:00,normal,1,62161,1
2025-12-14T12:58:14.363991+00:00,fast,2,62161,2
2025-12-14T12:58:14.363991+00:00,normal,1,62161,1
2025-12-14T12:58:14.363991+00:00,cheap,1,62161,1
2025-12-14T12:59:38.695387+00:00,fast,2,62342,2
2025-12-14T12:59:38.695387+00:00,normal,1,62342,1
2025-12-14T12:59:38.695387+00:00,cheap,1,62342,1
2025-12-14T13:00:20.968983+00:00,fast,2,62476,2
2025-12-14T13:00:20.968983+00:00,normal,1,62476,1
2025-12-14T13:00:20.968983+00:00,cheap,1,62476,1
2025-12-14T13:03:17.855145+00:00,fast,2,62971,2
2025-12-14T13:03:17.855145+00:00,normal,1,62971,1
2025-12-14T13:03:17.855145+00:00,cheap,1,62971,1
2025-12-14T13:03:38.667466+00:00,fast,2,63028,2
2025-12-14T13:03:38.667466+00:00,normal,1,63028,1
2025-12-14T13:03:38.667466+00:00,cheap,1,63028,1
2025-12-14T13:13:53.521419+00:00,normal,1,64417,1
2025-12-14T13:13:56.655105+00:00,fast,3,64417,3
2025-12-14T13:13:56.655105+00:00,normal,1,64417,1
2025-12-14T13:13:56.655105+00:00,cheap,1,64417,1
2025-12-14T13:14:00.820632+00:00,normal,1,64443,1
2025-12-14T13:17:08.404814+00:00,normal,1,60890,1
2025-12-14T13:17:44.824868+00:00,fast,1,61109,1
2025-12-14T13:17:44.824868+00:00,normal,1,61109,1
2025-12-14T13:17:44.824868+00:00,cheap,1,61109,1
2025-12-14T13:18:13.984655+00:00,normal,1,61178,1
2025-12-14T13:19:05.590686+00:00,fast,2,61376,2
2025-12-14T13:19:05.590686+00:00,normal,1,61376,1
2025-12-14T13:19:05.590686+00:00,cheap,1,61376,1
2025-12-14T13:26:11.779424+00:00,extreme_fast,2,63198,2
2025-12-14T13:26:11.779424+00:00,very_fast,2,63198,2
2025-12-14T13:26:11.779424+00:00,slow,1,63198,1
2025-12-14T13:26:11.779424+00:00,extreme_slow,1,63198,1
2025-12-14T13:26:25.785115+00:00,estimate,1,63218,12
2025-12-14T13:26:32.970161+00:00,estimate,1,63259,1211
2025-12-14T13:26:34.900757+00:00,estimate,1,63259,1211
2025-12-14T13:26:38.867095+00:00,estimate,1,63259,1211222222
2025-12-14T13:26:46.926058+00:00,estimate,1,63259,1
2025-12-14T13:26:59.115960+00:00,estimate,1,63276,2
2025-12-14T13:27:02.607181+00:00,estimate,1,63293,3
2025-12-14T13:27:06.078228+00:00,estimate,1,63293,1
2025-12-14T13:27:12.014136+00:00,extreme_fast,2,63293,2
2025-12-14T13:27:19.595796+00:00,extreme_slow,1,63356,1
2025-12-14T13:27:24.843137+00:00,extreme_slow,1,63403,1
2025-12-14T13:39:59.154290+00:00,estimate,1,63046,1
2025-12-14T13:40:05.471860+00:00,estimate,1,63046,2
2025-12-14T13:40:09.641000+00:00,estimate,1,63080,2
2025-12-14T13:40:13.939465+00:00,estimate,1,63080,3
2025-12-14T13:40:19.185724+00:00,very_fast,2,63111,2
2025-12-14T13:41:25.988744+00:00,extreme_fast,2,63262,2
2025-12-14T13:41:25.988744+00:00,very_fast,2,63262,2
2025-12-14T13:41:25.988744+00:00,slow,1,63262,1
2025-12-14T13:41:25.988744+00:00,extreme_slow,1,63262,1
2025-12-14T13:47:30.180557+00:00,normal,1,60691,1
2025-12-14T13:47:33.145962+00:00,extreme_fast,1,60691,1
2025-12-14T13:47:33.145962+00:00,very_fast,1,60691,1
2025-12-14T13:47:33.145962+00:00,slow,1,60691,1
2025-12-14T13:47:33.145962+00:00,extreme_slow,1,60691,1
2025-12-14T13:53:10.067481+00:00,fast,1,61928,1
2025-12-14T13:53:16.479062+00:00,medium,1,61979,1
2025-12-14T13:53:20.066152+00:00,slow,1,61979,1
2025-12-14T13:53:25.257591+00:00,fast,1,61979,1
2025-12-14T13:53:29.959182+00:00,medium,1,62010,1
2025-12-14T13:53:33.975693+00:00,slow,1,62010,1
2025-12-14T13:53:36.692384+00:00,fast,1,62010,1
2025-12-14T13:53:41.066205+00:00,estimate,1,62049,12
2025-12-14T13:53:47.219658+00:00,estimate,1,62049,123
2025-12-14T13:53:52.221061+00:00,estimate,1,62098,1233
2025-12-14T13:53:57.515053+00:00,estimate,1,62098,1
2025-12-14T13:54:00.981489+00:00,estimate,1,62098,2
2025-12-14T13:54:07.592654+00:00,fast,1,62117,1
2025-12-14T13:54:08.882741+00:00,fast,1,62117,1
2025-12-14T13:54:19.892980+00:00,estimate,1,62117,1
2025-12-14T13:54:23.124371+00:00,estimate,1,62117,2
2025-12-14T13:56:04.993085+00:00,estimate,1,62603,1
2025-12-14T13:56:07.536898+00:00,estimate,1,62603,2
2025-12-14T13:56:10.263481+00:00,estimate,1,62603,2
2025-12-14T13:56:14.563483+00:00,estimate,1,62603,3
2025-12-14T13:56:19.120473+00:00,estimate,1,62678,1000
2025-12-14T13:56:22.225652+00:00,fast,1,62678,1
2025-12-14T13:56:25.161904+00:00,slow,1,62678,1
2025-12-14T13:56:29.845175+00:00,medium,1,62716,1
2025-12-14T13:56:38.610141+00:00,slow,1,62716,1
2025-12-14T13:56:47.950619+00:00,fast,2,62750,2
2025-12-14T13:56:47.950619+00:00,medium,1,62750,1
2025-12-14T13:56:47.950619+00:00,slow,1,62750,1
2025-12-14T14:06:35.130329+00:00,estimate,1,61231,1
2025-12-14T14:06:44.655138+00:00,estimate,1,61231,12
2025-12-14T14:08:20.374665+00:00,medium,1,61645,1
2025-12-14T14:09:30.937959+00:00,estimate,1,61873,25
2025-12-14T14:11:22.301908+00:00,medium,1,62202,1
2025-12-14T14:11:27.376546+00:00,fast,1,62238,1
2025-12-14T14:12:17.974986+00:00,fast,1,63360,1
2025-12-14T14:12:32.847348+00:00,medium,1,63670,1
2025-12-14T14:12:47.595701+00:00,estimate,1,63954,25
2025-12-14T14:13:34.763747+00:00,fast,1,64119,1
2025-12-14T14:13:34.763747+00:00,medium,1,64119,1
2025-12-14T14:13:34.763747+00:00,slow,1,64119,1
2025-12-14T14:13:43.590446+00:00,fast,1,64119,1
2025-12-14T14:13:43.590446+00:00,medium,1,64119,1
2025-12-14T14:13:43.590446+00:00,slow,1,64119,1
2025-12-14T14:17:15.119796+00:00,fast,2,64906,2
2025-12-14T14:17:15.119796+00:00,medium,1,64906,1
2025-12-14T14:17:15.119796+00:00,slow,1,64906,1
2025-12-14T14:25:15.365803+00:00,medium,1,66134,1
2025-12-14T14:28:33.472667+00:00,estimate,1,66641,1
2025-12-14T14:33:06.433449+00:00,fast,3,67406,3
2025-12-14T14:33:06.433449+00:00,medium,1,67406,1
2025-12-14T14:33:06.433449+00:00,slow,1,67406,1
2025-12-14T14:34:43.643936+00:00,medium,1,67577,1
2025-12-14T14:34:46.375416+00:00,fast,3,67577,3
2025-12-14T14:34:49.899453+00:00,medium,1,67623,1
2025-12-14T14:34:51.447259+00:00,slow,1,67623,1
2025-12-14T14:34:54.327355+00:00,fast,3,67623,3
2025-12-14T14:35:04.471706+00:00,fast,3,67653,3
2025-12-14T14:35:05.923115+00:00,medium,1,67653,1
2025-12-14T14:35:07.315816+00:00,slow,1,67653,1
2025-12-14T14:35:10.147734+00:00,fast,3,67653,3
2025-12-14T14:35:12.415815+00:00,medium,1,67653,1
2025-12-14T14:35:14.135347+00:00,slow,1,67685,1
2025-12-14T14:35:18.680646+00:00,medium,1,67685,1
2025-12-14T14:35:36.093570+00:00,fast,3,67764,3
2025-12-14T14:35:36.093570+00:00,medium,1,67764,1
2025-12-14T14:35:36.093570+00:00,slow,1,67764,1
2025-12-14T14:35:47.233833+00:00,fast,3,67784,3
2025-12-14T14:35:47.233833+00:00,medium,1,67784,1
2025-12-14T14:35:47.233833+00:00,slow,1,67784,1
2025-12-14T14:36:11.579782+00:00,estimate,1,67840,25
2025-12-14T14:36:14.950097+00:00,estimate,1,67840,1
2025-12-14T14:36:39.306175+00:00,fast,3,67891,3
2025-12-14T14:36:39.306175+00:00,medium,1,67891,1
2025-12-14T14:36:39.306175+00:00,slow,1,67891,1
2025-12-14T14:50:08.317136+00:00,medium,1,64560,1
2025-12-14T14:50:17.359481+00:00,fast,2,64560,2
2025-12-14T14:50:17.359481+00:00,medium,1,64560,1
2025-12-14T14:50:17.359481+00:00,slow,1,64560,1
2025-12-14T14:50:37.860278+00:00,fast,2,64619,2
2025-12-14T14:50:37.860278+00:00,medium,1,64619,1
2025-12-14T14:50:37.860278+00:00,slow,1,64619,1
2025-12-14T14:53:31.356141+00:00,fast,2,65194,2
2025-12-14T14:53:31.356141+00:00,medium,2,65194,2
2025-12-14T14:53:31.356141+00:00,slow,2,65194,2
2025-12-14T14:54:25.439157+00:00,fast,2,65295,2
2025-12-14T14:54:25.439157+00:00,medium,2,65295,2
2025-12-14T14:54:25.439157+00:00,slow,2,65295,2
2025-12-14T14:54:26.627459+00:00,fast,2,65295,2
2025-12-14T14:54:26.627459+00:00,medium,2,65295,2
2025-12-14T14:54:26.627459+00:00,slow,2,65295,2
2025-12-14T14:54:26.800792+00:00,fast,2,65295,2
2025-12-14T14:54:26.800792+00:00,medium,2,65295,2
2025-12-14T14:54:26.800792+00:00,slow,2,65295,2
2025-12-14T14:54:32.503761+00:00,fast,2,65353,2
2025-12-14T14:54:32.503761+00:00,medium,2,65353,2
2025-12-14T14:54:32.503761+00:00,slow,2,65353,2
2025-12-14T14:54:36.715195+00:00,fast,2,65353,2
2025-12-14T14:54:36.715195+00:00,medium,2,65353,2
2025-12-14T14:54:36.715195+00:00,slow,2,65353,2
2025-12-14T14:54:38.062977+00:00,fast,2,65353,2
2025-12-14T14:54:38.062977+00:00,medium,2,65353,2
2025-12-14T14:54:38.062977+00:00,slow,2,65353,2
2025-12-14T14:54:38.770958+00:00,fast,2,65383,2
2025-12-14T14:54:38.770958+00:00,medium,2,65383,2
2025-12-14T14:54:38.770958+00:00,slow,2,65383,2
2025-12-14T14:54:39.158941+00:00,fast,2,65383,2
2025-12-14T14:54:39.158941+00:00,medium,2,65383,2
2025-12-14T14:54:39.158941+00:00,slow,2,65383,2
2025-12-14T14:54:39.430876+00:00,fast,2,65383,2
2025-12-14T14:54:39.430876+00:00,medium,2,65383,2
2025-12-14T14:54:39.430876+00:00,slow,2,65383,2
2025-12-14T14:54:57.088359+00:00,fast,2,65432,2
2025-12-14T14:54:57.088359+00:00,medium,2,65432,2
2025-12-14T14:54:57.088359+00:00,slow,2,65432,2
2025-12-14T14:55:00.007197+00:00,fast,2,65432,2
2025-12-14T14:55:00.007197+00:00,medium,2,65432,2
2025-12-14T14:55:00.007197+00:00,slow,2,65432,2
2025-12-14T14:55:00.841788+00:00,fast,2,65432,2
2025-12-14T14:55:00.841788+00:00,medium,2,65432,2
2025-12-14T14:55:00.841788+00:00,slow,2,65432,2
2025-12-14T14:56:05.033300+00:00,medium,3,65587,3
2025-12-14T14:56:12.150069+00:00,medium,3,65645,3
2025-12-14T14:57:43.497578+00:00,medium,3,65878,3
2025-12-14T14:57:51.593531+00:00,estimate,3,65878,1
2025-12-14T14:58:00.605763+00:00,fast,3,65903,3
2025-12-14T14:58:00.605763+00:00,medium,3,65903,3
2025-12-14T14:58:00.605763+00:00,slow,2,65903,2
2025-12-18T20:49:20.635392+00:00,medium,1,44263,1
2025-12-18T20:49:25.978781+00:00,medium,1,44263,1
2025-12-18T20:51:09.673923+00:00,medium,1,42221,1
2025-12-18T20:51:16.756972+00:00,fast,1,42270,1
2025-12-18T20:51:16.756972+00:00,medium,1,42270,1
2025-12-18T20:51:16.756972+00:00,slow,1,42270,1
2025-12-18T21:00:43.800335+00:00,medium,1,41850,1
2025-12-18T21:04:03.692417+00:00,medium,1,42577,1
2025-12-18T21:07:35.244077+00:00,fast,3,43432,3
2025-12-18T21:07:35.244077+00:00,medium,1,43432,1
2025-12-18T21:07:35.244077+00:00,slow,1,43432,1
2025-12-19T07:09:05.071020+00:00,medium,1,49744,1
2025-12-19T07:09:37.961068+00:00,fast,2,49954,2
2025-12-19T07:09:37.961068+00:00,medium,1,49954,1
2025-12-19T07:09:37.961068+00:00,slow,1,49954,1
2025-12-19T07:23:12.957841+00:00,medium,1,46023,1
2025-12-19T07:23:28.783789+00:00,fast,1,46118,1
2025-12-19T07:23:28.783789+00:00,medium,1,46118,1
2025-12-19T07:23:28.783789+00:00,slow,1,46118,1
2025-12-19T07:36:34.818163+00:00,medium,1,46833,1
2025-12-19T07:40:27.423074+00:00,fast,3,47445,3
2025-12-19T07:40:27.423074+00:00,medium,1,47445,1
2025-12-19T07:40:27.423074+00:00,slow,1,47445,1
2025-12-19T07:46:55.196723+00:00,medium,1,48503,1
2025-12-19T07:47:38.036902+00:00,fast,3,48616,3
2025-12-19T07:47:38.036902+00:00,medium,1,48616,1
2025-12-19T07:47:38.036902+00:00,slow,1,48616,1
2025-12-19T07:54:12.447726+00:00,medium,1,49759,1
2025-12-19T07:55:33.023551+00:00,fast,4,49931,4
2025-12-19T07:55:33.023551+00:00,medium,1,49931,1
2025-12-19T07:55:33.023551+00:00,slow,1,49931,1
2025-12-19T07:57:51.968997+00:00,medium,1,50236,1
2025-12-19T07:59:16.759281+00:00,medium,1,50452,1
2025-12-19T08:04:29.389777+00:00,medium,3,51239,3
2025-12-19T08:14:35.676682+00:00,medium,4,52625,4
2025-12-19T08:33:33.036587+00:00,medium,2,49368,2
2025-12-19T08:34:26.145172+00:00,fast,3,49487,3
2025-12-19T08:34:26.145172+00:00,medium,3,49487,3
2025-12-19T08:34:26.145172+00:00,slow,2,49487,2
2025-12-19T08:34:32.276244+00:00,fast,3,49487,3
2025-12-19T08:34:32.276244+00:00,medium,3,49487,3
2025-12-19T08:34:32.276244+00:00,slow,2,49487,2
2025-12-19T08:34:48.756619+00:00,fast,3,49516,3
2025-12-19T08:34:48.756619+00:00,medium,3,49516,3
2025-12-19T08:34:48.756619+00:00,slow,2,49516,2
2025-12-19T08:35:32.436911+00:00,medium,3,49719,3
2025-12-19T08:35:59.381329+00:00,medium,3,49815,3
2025-12-19T08:36:40.738148+00:00,fast,3,49866,3
2025-12-19T08:36:40.738148+00:00,medium,3,49866,3
2025-12-19T08:36:40.738148+00:00,slow,2,49866,2
2025-12-19T08:37:04.588591+00:00,fast,3,49892,3
2025-12-19T08:37:04.588591+00:00,medium,3,49892,3
2025-12-19T08:37:04.588591+00:00,slow,2,49892,2
2025-12-19T08:38:15.815006+00:00,medium,3,50126,3
2025-12-19T08:38:54.440687+00:00,fast,3,50238,3
2025-12-19T08:38:54.440687+00:00,medium,3,50238,3
2025-12-19T08:38:54.440687+00:00,slow,2,50238,2
2025-12-19T08:42:52.673553+00:00,medium,1,46887,1
2025-12-19T08:42:59.771980+00:00,medium,1,46887,1
2025-12-19T08:43:17.626258+00:00,medium,1,46930,1
2025-12-19T08:43:55.495891+00:00,medium,1,45139,1
2025-12-19T08:43:58.421307+00:00,medium,1,45210,1
2025-12-19T08:54:09.442055+00:00,medium,1,51657,1
2025-12-19T08:54:14.031954+00:00,medium,1,51657,1
2025-12-19T08:54:17.947377+00:00,medium,1,51657,1
2025-12-19T09:01:59.179523+00:00,fast,3,55101,3
